OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu022,0.008081,8.80E-05,0.003544,0.008049,0.000241,0.005867,0.979932,1.999997,1,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);
Otu023,0.025371,0.000672,0.009798,0.017129,0.000152,0.004665,0.566699,1.999997,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Dialister(100);
Otu024,0.008275,0.000302,0.00657,0.00103,1.00E-06,0.000411,0.310384,1.999997,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Selenomonas(100);
Otu025,0.005924,2.40E-05,0.001867,0.010432,6.40E-05,0.003016,0.209329,1.999997,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Porphyromonadaceae_unclassified(100);
Otu026,0.046396,0.003378,0.021967,0.04675,0.002419,0.018588,0.977644,1.999997,1,Bacteria(100);Proteobacteria(100);Epsilonproteobacteria(100);Campylobacterales(100);Campylobacteraceae(100);Campylobacter(100);
Otu028,0.000129,0,9.70E-05,0.001352,1.00E-05,0.001171,0.348425,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(100);
Otu029,0.005441,5.80E-05,0.002884,0.004991,9.00E-06,0.001144,0.913301,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Butyricicoccus(100);
Otu030,0.000322,0,0.000146,0.000225,0,8.50E-05,0.665644,1.999997,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu031,0.001352,3.00E-06,0.00063,0.002028,3.00E-06,0.000614,0.562493,1.999997,1,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionaceae(100);Desulfovibrio(100);
Otu032,0.009917,4.60E-05,0.002572,0.012975,8.70E-05,0.00353,0.597849,1.999997,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Acidaminococcus(100);
Otu034,0.009498,0.000127,0.004252,0.005441,1.50E-05,0.001475,0.462014,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcus(100);
Otu035,0.001191,4.00E-06,0.000742,0.003187,2.90E-05,0.002039,0.450986,1.999997,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonella(100);
Otu037,3.20E-05,0,3.20E-05,9.70E-05,0,4.60E-05,0.624988,1.999997,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Aeromonadales(100);Succinivibrionaceae(100);Succinivibrio(100);
Otu039,0,0,0,3.20E-05,0,3.20E-05,1,1.999997,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotellaceae_unclassified(100);
Otu040,0.010078,0.000161,0.004791,0.009498,0.000117,0.004085,0.942342,1.999997,1,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Cloacibacillus(100);
Otu041,0.00029,0,0.000254,0,0,0,0.279507,1.999997,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(100);
Otu042,0.000129,0,6.70E-05,0.000161,0,9.50E-05,1,1.999997,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Coriobacteriaceae_unclassified(100);
Otu044,0.003509,1.50E-05,0.001477,0.004314,2.10E-05,0.001736,0.786096,1.999997,1,Bacteria(100);Proteobacteria(100);Epsilonproteobacteria(100);Campylobacterales(100);Helicobacteraceae(100);Helicobacter(100);
Otu046,0.000869,0,0.000262,0.00132,0,0.000262,0.229904,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Oscillibacter(100);
Otu048,0.000644,1.00E-06,0.000363,0.002737,4.00E-05,0.002378,0.479205,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Ruminococcus2(100);
Otu049,0.004411,5.50E-05,0.002802,0.001867,1.00E-06,0.000461,0.464123,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Eubacteriaceae(100);Eubacterium(100);
Otu051,3.20E-05,0,3.20E-05,3.20E-05,0,3.20E-05,1,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Coprococcus(100);
Otu052,3.20E-05,0,3.20E-05,0.000225,0,0.00019,0.372301,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Terrisporobacter(100);
Otu054,0.018191,0.001948,0.016682,0.000161,0,6.40E-05,0.319808,1.999997,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Enterobacteriaceae_unclassified(100);
Otu055,0.00132,2.00E-06,0.00051,0.004862,6.30E-05,0.003008,0.26737,1.999997,1,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Pyramidobacter(100);
Otu056,0.000129,0,8.30E-05,6.40E-05,0,4.20E-05,0.687485,1.999997,1,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Erysipelotrichaceae_unclassified(100);
Otu057,0.003413,7.30E-05,0.003226,0.000966,2.00E-06,0.00054,0.574397,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Clostridium_IV(100);
Otu059,6.40E-05,0,6.40E-05,0.000451,1.00E-06,0.000451,0.50211,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Subdoligranulum(100);
Otu060,0.001771,1.50E-05,0.001448,6.40E-05,0,4.20E-05,0.25663,1.999997,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Rikenellaceae(100);Alistipes(100);
Otu061,0.000547,0,0.000208,0.001384,3.00E-06,0.000619,0.200301,1.999997,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Pseudoscardovia(100);
Otu062,0,0,0,3.20E-05,0,3.20E-05,1,1.999997,1,Bacteria(100);Proteobacteria(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);
Otu064,0.005699,3.30E-05,0.002181,0.003252,6.00E-06,0.000921,0.352205,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Intestinimonas(100);
Otu067,0.001191,6.00E-06,0.000897,0.000805,1.00E-06,0.000344,0.764507,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Anaerotruncus(100);
Otu068,0,0,0,3.20E-05,0,3.20E-05,1,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVb(100);
Otu069,3.20E-05,0,3.20E-05,3.20E-05,0,3.20E-05,1,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XIII(100);Mogibacterium(100);
Otu071,0.000644,2.00E-06,0.000535,0.000483,1.00E-06,0.000382,0.849685,1.999997,1,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionales_unclassified(100);Desulfovibrionales_unclassified(100);
Otu073,3.20E-05,0,3.20E-05,3.20E-05,0,3.20E-05,1,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Peptostreptococcaceae_unclassified(100);
Otu075,0,0,0,3.20E-05,0,3.20E-05,1,1.999997,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);
Otu076,0.000998,1.00E-06,0.000278,0.002415,1.00E-05,0.001174,0.26074,1.999997,1,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Sphaerochaeta(100);
Otu077,3.20E-05,0,3.20E-05,9.70E-05,0,6.70E-05,0.624988,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Fusicatenibacter(100);
Otu078,0.000773,0,0.000255,0.000676,0,0.000209,0.819863,1.999997,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Allisonella(100);
Otu079,0.000193,0,0.000159,0.000258,0,0.000159,0.824151,1.999997,1,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Sharpea(100);
Otu080,0.000129,0,9.70E-05,9.70E-05,0,4.60E-05,1,1.999997,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Acidaminococcaceae_unclassified(100);
Otu081,3.20E-05,0,3.20E-05,0,0,0,1,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridiaceae_1_unclassified(100);
