OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu210,0,0,0,3.20E-05,0,3.20E-05,0.466667,1.999997,0.81666725,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Eisenbergiella(100);
Otu242,0,0,0,3.20E-05,0,3.20E-05,0.466667,1.999997,0.81666725,Bacteria(100);Bacteroidetes(100);Cytophagia(100);Cytophagales(100);Cytophagales_unclassified(100);Cytophagales_unclassified(100);
Otu302,0,0,0,3.20E-05,0,3.20E-05,0.466667,1.999997,0.81666725,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Carnobacteriaceae(100);Carnobacteriaceae_unclassified(100);
Otu021,0.014593,0.001261,0.012553,0.004025,1.00E-05,0.001203,0.493961,1.999997,0.830049792,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Olsenella(100);
Otu130,0.000451,0,0.000245,0.000225,0,9.80E-05,0.484342,1.999997,0.830049792,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Bulleidia(100);
Otu134,5.60E-05,0,5.60E-05,0,0,0,0.502215,1.999997,0.830049792,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodospirillales(100);Reyranella(100);Reyranella_unclassified(100);
Otu141,5.60E-05,0,5.60E-05,0,0,0,0.502215,1.999997,0.830049792,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Pasteurella(100);
Otu044,0.007353,9.80E-05,0.003492,0.004314,2.10E-05,0.001736,0.535276,1.999997,0.872573205,Bacteria(100);Proteobacteria(100);Epsilonproteobacteria(100);Campylobacterales(100);Helicobacteraceae(100);Helicobacter(100);
Otu017,0.032567,0.000546,0.008258,0.044882,0.001472,0.014502,0.558868,1.999997,0.888074787,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);
Otu059,0.000113,0,8.50E-05,0.000451,1.00E-06,0.000451,0.559711,1.999997,0.888074787,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Subdoligranulum(100);
Otu078,0.000958,1.00E-06,0.000332,0.000676,0,0.000209,0.577592,1.999997,0.892642182,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Allisonella(100);
Otu121,0.000225,0,0.000165,9.70E-05,0,6.70E-05,0.572921,1.999997,0.892642182,Bacteria(100);Deinococcus-Thermus(100);Deinococci(100);Deinococcales(100);Deinococcaceae(100);Deinococcus(100);
Otu110,2.80E-05,0,2.80E-05,6.40E-05,0,6.40E-05,0.601771,1.999997,0.918086526,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Paraprevotella(100);
Otu137,8.50E-05,0,8.50E-05,3.20E-05,0,3.20E-05,0.628315,1.999997,0.946449177,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Sutterellaceae(100);Parasutterella(100);
Otu009,0.001916,2.00E-06,0.000529,0.002544,6.00E-06,0.000913,0.656079,1.999997,0.975917513,Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu052,0.000113,0,6.00E-05,0.000225,0,0.00019,0.678,1.999997,0.996074074,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Terrisporobacter(100);
Otu001,0.100575,0.007938,0.031501,0.085321,0.003769,0.023205,0.774289,1.999997,1,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu007,0.101504,0.007757,0.031139,0.085096,0.002079,0.017232,0.737329,1.999997,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Megasphaera(100);
Otu012,0.003409,3.30E-05,0.002039,0.003059,6.00E-06,0.000926,0.909566,1.999997,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Pasteurellaceae_unclassified(100);
Otu013,0.003212,2.70E-05,0.001854,0.002318,1.10E-05,0.001275,0.770329,1.999997,1,Bacteria(100);Bacteroidetes(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);
Otu015,0.000282,1.00E-06,0.000251,0.00029,0,0.000168,0.980355,1.999997,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Parabacteroides(100);
Otu016,0.01434,0.000247,0.005561,0.01671,0.000179,0.005056,0.824434,1.999997,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Alloprevotella(100);
Otu023,0.021411,0.000396,0.007035,0.017129,0.000152,0.004665,0.712092,1.999997,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Dialister(100);
Otu026,0.06212,0.004613,0.024014,0.04675,0.002419,0.018588,0.712421,1.999997,1,Bacteria(100);Proteobacteria(100);Epsilonproteobacteria(100);Campylobacterales(100);Campylobacteraceae(100);Campylobacter(100);
Otu027,0.000141,0,8.50E-05,0.000193,0,0.000159,0.764656,1.999997,1,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillales_unclassified(100);Lactobacillales_unclassified(100);
Otu029,0.005099,4.70E-05,0.00243,0.004991,9.00E-06,0.001144,0.973211,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Butyricicoccus(100);
Otu033,0.013297,9.50E-05,0.003453,0.012943,3.30E-05,0.002171,0.947105,1.999997,1,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Holdemanella(100);
Otu034,0.00648,8.50E-05,0.003259,0.005441,1.50E-05,0.001475,0.836276,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcus(100);
Otu038,0.023355,0.002304,0.016971,0.016549,0.00031,0.00666,0.787276,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Dorea(100);
