OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu116,0.000113,0,0.000113,8.50E-05,0,5.90E-05,1,2.000005,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Pseudoflavonifractor(100);
Otu117,0,0,0,2.80E-05,0,2.80E-05,1,2.000005,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Actinomycetales_unclassified(100);Actinomycetales_unclassified(100);
Otu119,2.80E-05,0,2.80E-05,0,0,0,1,2.000005,1,Bacteria(100);Fusobacteria(100);Fusobacteriia(100);Fusobacteriales(100);Leptotrichiaceae(100);Leptotrichiaceae_unclassified(100);
Otu122,0,0,0,2.80E-05,0,2.80E-05,1,2.000005,1,Bacteria(100);Lentisphaerae(100);Lentisphaeria(100);Victivallales(100);Victivallaceae(100);Victivallis(100);
Otu123,0.000761,1.00E-06,0.000316,0.000592,1.00E-06,0.000319,0.694306,2.000005,1,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(100);Oxalobacteraceae_unclassified(100);
Otu124,0,0,0,2.80E-05,0,2.80E-05,1,2.000005,1,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Neisseriales(100);Neisseriaceae(100);Neisseriaceae_unclassified(100);
Otu126,8.50E-05,0,5.90E-05,0.000141,0,5.90E-05,0.726547,2.000005,1,Bacteria(100);Candidatus_Saccharibacteria(100);Candidatus_Saccharibacteria_unclassified(100);Candidatus_Saccharibacteria_unclassified(100);Candidatus_Saccharibacteria_unclassified(100);Candidatus_Saccharibacteria_unclassified(100);
Otu130,0.000394,0,0.000194,0.000394,0,0.000111,0.922078,2.000005,1,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Bulleidia(100);
Otu133,0,0,0,2.80E-05,0,2.80E-05,1,2.000005,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Eubacteriaceae(100);Anaerofustis(100);
Otu138,8.50E-05,0,5.90E-05,5.60E-05,0,3.70E-05,1,2.000005,1,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Comamonadaceae_unclassified(100);
Otu142,2.80E-05,0,2.80E-05,0,0,0,1,2.000005,1,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Leuconostocaceae(100);Leuconostoc(100);
Otu143,0,0,0,2.80E-05,0,2.80E-05,1,2.000005,1,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_Incertae_Sedis_XI(100);Gemella(100);
Otu152,0.000197,0,0.000108,0.000141,0,0.000112,0.774395,2.000005,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Eggerthella(100);
Otu239,0,0,0,2.80E-05,0,2.80E-05,1,2.000005,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Pseudomonadaceae_unclassified(100);
Otu330,2.80E-05,0,2.80E-05,0,0,0,1,2.000005,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Anaerofilum(100);
