OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu015,0.002423,4.10E-05,0.002263,0.001256,3.00E-06,0.000604,0.738384,2,0.926625394,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Parabacteroides(100);
Otu083,0.014593,0.000388,0.006964,0.010239,0.000218,0.00558,0.742663,2,0.926625394,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Odoribacter(100);
Otu105,0.000141,0,9.50E-05,9.70E-05,0,6.70E-05,0.731376,2,0.926625394,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Acinetobacter(100);
Otu026,0.059359,0.003893,0.022058,0.048617,0.001344,0.013858,0.779349,2,0.937977558,Bacteria(100);Proteobacteria(100);Epsilonproteobacteria(100);Campylobacterales(100);Campylobacteraceae(100);Campylobacter(100);
Otu071,0.000986,3.00E-06,0.000596,0.001352,3.00E-06,0.000651,0.7785,2,0.937977558,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionales_unclassified(100);Desulfovibrionales_unclassified(100);
Otu078,0.000423,0,0.000188,0.00058,1.00E-06,0.000322,0.775221,2,0.937977558,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Allisonella(100);
Otu101,0.000225,0,0.000225,0.000354,0,0.000176,0.761488,2,0.937977558,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Anaerostipes(100);
Otu072,0.000197,0,0.000108,0.00029,0,0.000224,0.797907,2,0.951889053,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Romboutsia(100);
Otu123,0.000732,1.00E-06,0.000366,0.000902,1.00E-06,0.000358,0.821221,2,0.971183096,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(100);Oxalobacteraceae_unclassified(100);
Otu001,0.052767,0.001236,0.012429,0.052738,0.000508,0.008516,0.992802,2,1,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu005,0.016537,0.000348,0.006591,0.015905,5.50E-05,0.002806,0.951977,2,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);
Otu014,0.013241,7.60E-05,0.003088,0.01407,4.30E-05,0.002489,0.882616,2,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Roseburia(100);
Otu027,5.60E-05,0,5.60E-05,6.40E-05,0,4.20E-05,1,2,1,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillales_unclassified(100);Lactobacillales_unclassified(100);
Otu029,0.005268,1.30E-05,0.00128,0.004862,9.00E-06,0.001129,0.870256,2,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Butyricicoccus(100);
Otu034,0.004817,1.70E-05,0.001447,0.005216,2.40E-05,0.001852,0.906128,2,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcus(100);
Otu040,0.005409,6.20E-05,0.002774,0.005763,7.00E-06,0.000965,0.933953,2,1,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Cloacibacillus(100);
Otu046,0.002366,3.00E-06,0.000653,0.002254,7.00E-06,0.001026,0.949465,2,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Oscillibacter(100);
Otu053,0.002395,2.90E-05,0.001917,0.002866,7.00E-06,0.001029,0.878826,2,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVa(100);
Otu061,0.000479,1.00E-06,0.00029,0.000419,0,0.000217,0.907709,2,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Pseudoscardovia(100);
Otu063,0.000169,0,9.30E-05,0.000193,0,0.000159,1,2,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Butyricimonas(100);
Otu068,2.80E-05,0,2.80E-05,3.20E-05,0,3.20E-05,1,2,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVb(100);
Otu075,2.80E-05,0,2.80E-05,3.20E-05,0,3.20E-05,1,2,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);
Otu077,5.60E-05,0,3.70E-05,6.40E-05,0,4.20E-05,1,2,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Fusicatenibacter(100);
Otu102,0.000254,0,0.000193,0.00029,0,0.000161,0.919535,2,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Slackia(100);
Otu107,2.80E-05,0,2.80E-05,0,0,0,1,2,1,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Enterococcaceae(100);Enterococcus(100);
Otu116,2.80E-05,0,2.80E-05,0,0,0,1,2,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Pseudoflavonifractor(100);
Otu145,2.80E-05,0,2.80E-05,0,0,0,1,2,1,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Clostridium_XVIII(100);
Otu149,2.80E-05,0,2.80E-05,0,0,0,1,2,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XI(100);Parvimonas(100);
Otu153,2.80E-05,0,2.80E-05,0,0,0,1,2,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Psychrobacter(100);
Otu211,2.80E-05,0,2.80E-05,0,0,0,1,2,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lactonifactor(100);
