OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu059,0.000254,0,0.00015,0.001352,1.00E-05,0.001263,0.472205,2.000011,0.801317576,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Subdoligranulum(100);
Otu084,0.001972,2.00E-06,0.000538,0.001315,2.00E-06,0.000574,0.489575,2.000011,0.81839403,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptococcaceae_1(100);Peptococcus(100);
Otu036,0.005803,4.60E-05,0.002404,0.003831,2.00E-06,0.000524,0.513603,2.000011,0.8217648,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillaceae_unclassified(100);
Otu093,8.50E-05,0,5.90E-05,0.000301,0,0.000258,0.502466,2.000011,0.8217648,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Leuconostocaceae(100);Weissella(100);
Otu094,5.60E-05,0,5.60E-05,0,0,0,0.510196,2.000011,0.8217648,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Turicibacter(100);
Otu105,0.000423,0,0.000156,0.000263,0,0.000147,0.543836,2.000011,0.857882141,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Acinetobacter(100);
Otu078,0.000704,0,0.00025,0.00124,3.00E-06,0.000707,0.561671,2.000011,0.873710444,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Allisonella(100);
Otu230,2.80E-05,0,2.80E-05,7.50E-05,0,4.80E-05,0.580166,2.000011,0.890117699,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XI(100);Ezakiella(100);
Otu016,0.010593,0.000266,0.005762,0.015964,0.000228,0.006168,0.611068,2.000011,0.924859676,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Alloprevotella(100);
Otu001,0.209122,0.014541,0.042633,0.175156,0.007401,0.035122,0.622356,2.000011,0.92938496,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
