OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu180,8.50E-05,0,8.50E-05,0,0,0,0.253322,1.999998,0.737938,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(100);Massilia(100);
Otu243,8.50E-05,0,8.50E-05,0,0,0,0.253322,1.999998,0.737938,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Proteus(100);
Otu244,0,0,0,6.40E-05,0,6.40E-05,0.217774,1.999998,0.737938,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Hyphomicrobiaceae(100);Devosia(100);
Otu273,0,0,0,6.40E-05,0,6.40E-05,0.217774,1.999998,0.737938,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Brachymonas(100);
Otu048,0.001831,1.10E-05,0.001187,0.007309,0.000165,0.004856,0.263345,1.999998,0.750813404,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Ruminococcus2(100);
Otu015,0.028172,0.00632,0.028108,0.000483,1.00E-06,0.000447,0.460345,1.999998,0.851858354,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Parabacteroides(100);
Otu030,0.002958,6.10E-05,0.002765,0.000193,0,0.000103,0.43054,1.999998,0.851858354,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu034,0.004226,3.80E-05,0.002173,0.002028,3.00E-06,0.00062,0.484356,1.999998,0.851858354,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcus(100);
Otu042,0.007916,0.000493,0.007852,0,0,0,0.357057,1.999998,0.851858354,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Coriobacteriaceae_unclassified(100);
Otu050,0.002113,3.50E-05,0.002081,9.70E-05,0,4.60E-05,0.487793,1.999998,0.851858354,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);
Otu051,0.000535,2.00E-06,0.000535,0,0,0,0.368563,1.999998,0.851858354,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Coprococcus(100);
Otu053,0.002479,1.70E-05,0.001444,0.000966,2.00E-06,0.000503,0.450161,1.999998,0.851858354,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVa(100);
Otu063,0.000254,0,0.000223,3.20E-05,0,3.20E-05,0.469287,1.999998,0.851858354,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Butyricimonas(100);
Otu066,5.60E-05,0,5.60E-05,0,0,0,0.502215,1.999998,0.851858354,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionaceae(100);Bilophila(100);
Otu069,0.005409,0.00022,0.005249,0,0,0,0.317644,1.999998,0.851858354,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XIII(100);Mogibacterium(100);
Otu077,0.005719,0.00025,0.005591,0,0,0,0.326069,1.999998,0.851858354,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Fusicatenibacter(100);
Otu079,0.000141,0,8.50E-05,0.000322,0,0.000162,0.448356,1.999998,0.851858354,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Sharpea(100);
Otu080,2.80E-05,0,2.80E-05,9.70E-05,0,4.60E-05,0.345133,1.999998,0.851858354,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Acidaminococcaceae_unclassified(100);
Otu092,0.000423,1.00E-06,0.000423,0,0,0,0.368563,1.999998,0.851858354,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Anaerovibrio(100);
Otu097,5.60E-05,0,5.60E-05,0,0,0,0.502215,1.999998,0.851858354,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Staphylococcaceae(100);Staphylococcus(100);
Otu098,0,0,0,0.002125,3.10E-05,0.002088,0.334402,1.999998,0.851858354,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Flavonifractor(100);
Otu101,2.80E-05,0,2.80E-05,9.70E-05,0,6.70E-05,0.345133,1.999998,0.851858354,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Anaerostipes(100);
Otu102,0.000282,0,9.30E-05,0.000451,0,0.000139,0.351724,1.999998,0.851858354,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Slackia(100);
Otu106,0,0,0,3.20E-05,0,3.20E-05,0.466667,1.999998,0.851858354,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);
Otu109,0.00062,2.00E-06,0.000558,6.40E-05,0,4.20E-05,0.44277,1.999998,0.851858354,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Neisseriales(100);Neisseriaceae(100);Neisseria(100);
Otu110,0.007606,0.000463,0.007606,0,0,0,0.368563,1.999998,0.851858354,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Paraprevotella(100);
Otu127,0,0,0,3.20E-05,0,3.20E-05,0.466667,1.999998,0.851858354,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Moraxella(100);
Otu129,0,0,0,3.20E-05,0,3.20E-05,0.466667,1.999998,0.851858354,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Sporobacter(100);
Otu133,5.60E-05,0,3.70E-05,0,0,0,0.502215,1.999998,0.851858354,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Eubacteriaceae(100);Anaerofustis(100);
Otu145,0,0,0,3.20E-05,0,3.20E-05,0.466667,1.999998,0.851858354,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Clostridium_XVIII(100);
Otu152,0.000366,1.00E-06,0.000366,0,0,0,0.390138,1.999998,0.851858354,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Eggerthella(100);
Otu153,0.00062,3.00E-06,0.00062,0,0,0,0.411586,1.999998,0.851858354,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Psychrobacter(100);
